group,Rsquare,AICc,C.H,P.C.H.,cvre,ngr.cross
Gr.3,0.731974708312502,-7.21235053155173,1353.20613097858,4.58244923075728e-284,0.269713879883809,3
Gr.4,0.782721668714021,-7.4202243425481,1188.78927846541,0,0.219292488606025,4
Gr.5,0.839559444701988,-7.72144752615841,1293.81921121498,0,0.170893610935926,4
Gr.6,0.84905601249051,-7.78042560657492,1111.49487194763,0,0.154345460623571,5
Gr.7,0.85843800969899,-7.84255598752905,997.535089010944,0,0.145353346127616,5
Gr.8,0.86972506907173,-7.92360176022066,940.372698168059,0,0.134143842703675,5
Gr.9,0.880112114701414,-8.00464278582845,903.876182757969,0,0.123629154310055,5
Gr.10,0.889708439982328,-8.08601920077309,881.978543258262,0,0.123721166371464,5
Gr.11,0.899157009747723,-8.17352447166892,876.48267705157,0,0.1156933836328,5
Gr.12,0.906137550742411,-8.24319724901223,861.828889815204,0,0.110450521887754,5
Gr.13,0.915323706792606,-8.34412620220673,883.691411089797,0,0.11307416066342,5
Gr.14,0.917684301368212,-8.37033003440825,840.414152500757,0,0.1046177622985,6
Gr.15,0.923966856892148,-8.44764830026339,849.783130208948,0,0.0967473746327458,6
